,0
0,布鲁范德民俗学研究的入门之作，后面还有两本进阶作品。传说、都市传说以及谣言很难泾渭分明，他们来自于相同的叙事方式——口耳相传，而被布鲁范德称之为“以城市为背景讲述个人亲身经历的当代故事”的都市传说，正是我们这个时代最具共鸣性的故事。它被广泛的运用到图书、电影、游戏等媒介中。有意思的是都市传说的演变和发酵恰恰是对人类社会进程的最好见证。而随着网络时代的到来，都市传说的传播正以光速前行，我们加工、再加工，甚至生产新的都市传说，因为那些未经证实的故事“满足了我们对可能发生的、奇异的、恐怖的、有潜在危险的事件的好奇心。”
1,早年读时，最感兴趣的是“都市传说”这一形式，至此才知道同事中流传的段子也可用民俗学视野来解读，以及这与谣言、传说有何分别；这次重读，激发出一些新的认识：这些都市传说不仅折射出社会心理，本身也有功能（可参考作者另一本书《美国民俗学》）；都市传说的流变可用病毒为隐喻；不少桥段其实都曾被广告借用（斯堪的纳维亚航空等不止一个品牌用过“惊喜聚会中的裸体主人”这一创意）。p.41提到“大木春夫”，但Aoki这个姓恐应译作“青木”。
2,原初神话不乏离奇荒诞。比如刑天以双乳为眼、以肚脐为口；印第安少女贪食蜂蜜，受到惩罚化为水猪，以此解释万物起源；古希腊，克罗诺斯在盖亚的授意下阉割了父亲，乌拉诺斯嘶吼着向远处奔逃，天地开辟。美国的历史太短，并且从建国起就进入工业化时代，或许如此，美国都市传说非常发达，这些匪夷所思的传闻，藏着他们对生活里那些难以处置的事件的各种解释，我们还能在其中发现爱伦坡、洛夫克拉夫特、品钦、斯蒂芬・金作品的某些来源，以及好莱坞电影人所热衷的讲故事的方式。插图暗黑风格，有氛围。
3,最开始通过小明认识魔宙大宝的时候，她提出了这套书的策划，我持谨慎乐观态度，心想着即便不能像《北洋夜行记》一样大卖，这种“酷学术”就是我们三联生活书店应该做的。后来经过了旷日持久的打磨和斗争，因为两个品牌第一次合作，彼此的气质都有许多底线，导致项目一度横盘停滞，甚至接近崩盘，但好在最后终于做出了一本符合三联和魔宙气质的酷学术书。只可惜用力太猛，说句良心话第一次图书的印制呈现品质不算太好，也与我们的付出和预期有落差，在此向各位读者说句抱歉，不过好在快速加印了，我们得以把很多问题修正和改进，还希望大家继续支持。
4,分析的部分太浅；展示给我们的都市传说又不够多，并非腰封承诺的故事大全。插图的排放毫无缘由，打断了阅读影响流畅感。生活中从来不缺少流言，本世代最著名的一个便是肯德基的鸡有六个翅膀，源头是人们对快餐的怀疑对转基因的恐慌。书中的几个段子竟然听过郭德纲的改编。
5,挺有趣的，当本娱乐刊物来看，都市传说都有警示教育作用。
6,看到最后。。。基本只看红字的传说部分，bs自己
7,这书年代也够久了，关于都市传说的研究感觉还是依然不多见。
8,不仅仅要“谣言止于智者”。更于传闻中探寻其故事中隐含的社会意义与价值；通过流传于街头巷尾市井之间的奇闻轶事，分析大众心理所表现出的期盼与向往，敌视与恐惧；在流言中判断未来科学趋势走向。这才是真正大师级别的智者。
9,不知道为什么，就是对怪谈传说很感兴趣且不分国界
10,一本解读都市传说概念的好书，看完之后仿佛整合了一个国家的历史政治人文知识，有趣，有味道
11,比起光怪陆离的都市传说本身，作者的考究也十分有意思，传说是怎么来的，产生的背景之类的
12,不是很喜欢 没什么意思
13,先买为敬，一口气读完。有些翻译腔，插画太抽象，严肃书籍没有学者解题还蛮不适应的，总之再版质量一般。从都市传说的形成好像也能反观口述史。集体记忆的真实性难免受到个人立场、视角的影响，而另外的角度往往不可求（就像红丝绒蛋糕中的大饭店），渲染的记忆。又反观中国社会潮涌潮落，倒是无比期待魔宙将现实进一步撕裂。
14,通俗易懂
15,都市传说：城市情绪的下水道
16,"相较于首版（广西师范大学2006年），2018年的魔宙、三联版不仅对译稿进行全面审核校订，在文末还增补了《都市传说研究词汇表》（虽然篇幅不长）。插图、装帧精美，期待男神的签名版。《美国民俗学概论》也将出再版，欢迎各位民俗学爱好者关注～🌷非常期待《都市传说百科全书》的出版！附施爱东老师（俺偶像）的书评：
本书既是当代都市传说的开山之作，也是美国最成功的“学术畅销书”。从中我们可以看到，令人沮丧的现代都市生活中，积极向上的文化力量日渐消退，人们总是处在焦灼不安的情绪当中，传说则成为都市人排泄负面情绪的下水道。"
17,当都市传说成为一种流行，我们的故事也得以流传。好的故事来自民间，那些耳熟能详的或者毛骨悚然，或者怪诞可笑的桥段皆有源头。美国都市传说研究第一人布鲁范德从根本上定义了都市传说的特征，无疑为所有热爱阅读或者撰写好故事的人群提供了最好的素材。当然，它也能让读者肾上腺急速飙升后，重归理性，认清我们这个时代的精神病灶。
18,闲下来了慢慢品读还是不错的。
19,一本被名字吸引，内容还算有趣，但不想读第二遍的书。奇奇怪怪的传说被煞有其事大边幅研究分析出比较科学的背后民俗和大众心理，感觉让传说失去了恐怖感、神秘感。想念以前看故事会看了个爽。
